model_name,label_name,num,is_loose,acc,f1
pre-train,to state code,28,False,0.05102040816326531,0.05952380952380952
gpt3,alternative,2,True,0.0,0.0
parsing,alternative,6,True,0.0,0.0
pre-train,alternative,6,True,0.1111111111111111,0.16666666666666666
gpt3,alternative,2,False,0.0,0.0
parsing,alternative,6,False,0.0,0.0
pre-train,alternative,6,False,0.1111111111111111,0.16666666666666666
gpt3,arrive time end,2,True,0.0,0.0
parsing,arrive time end,6,True,0.0,0.0
pre-train,arrive time end,2,True,0.0,0.0
gpt3,arrive time end,2,False,0.0,0.0
parsing,arrive time end,6,False,0.0,0.0
pre-train,arrive time end,2,False,0.0,0.0
gpt3,relative cost,72,True,0.013117283950617283,0.01781970649895178
parsing,relative cost,36,True,0.0030864197530864196,0.005847953216374269
pre-train,relative cost,46,True,0.043478260869565216,0.043478260869565216
gpt3,relative cost,72,False,0.013117283950617283,0.01781970649895178
parsing,relative cost,36,False,0.0030864197530864196,0.005847953216374269
pre-train,relative cost,46,False,0.04158790170132325,0.04253308128544424
parsing,atis flight,6,True,0.0,0.0
parsing,atis flight,6,False,0.0,0.0
gpt3,aircraft code,22,True,0.0,0.0
parsing,aircraft code,24,True,0.020833333333333332,0.03333333333333333
pre-train,aircraft code,22,True,0.0,0.0
gpt3,aircraft code,22,False,0.0,0.0
parsing,aircraft code,24,False,0.0,0.016666666666666666
pre-train,aircraft code,22,False,0.0,0.0
gpt3,flight stop,16,True,0.0,0.0
parsing,flight stop,84,True,0.0045351473922902496,0.007619047619047619
pre-train,flight stop,16,True,0.125,0.125
gpt3,flight stop,16,False,0.0,0.0
parsing,flight stop,84,False,0.0005668934240362812,0.004285714285714286
pre-train,flight stop,16,False,0.125,0.125
parsing,relative time,4,True,0.0,0.0
parsing,relative time,4,False,0.0,0.0
gpt3,airport code,8,True,0.0,0.0
parsing,airport code,10,True,0.0,0.0
pre-train,airport code,8,True,0.0,0.0
gpt3,airport code,8,False,0.0,0.0
parsing,airport code,10,False,0.0,0.0
pre-train,airport code,8,False,0.0,0.0
gpt3,to airport,10,True,0.0,0.0
parsing,to airport,100,True,0.0004,0.000784313725490196
pre-train,to airport,20,True,0.02,0.03333333333333333
gpt3,to airport,10,False,0.0,0.0
parsing,to airport,100,False,0.0,0.000392156862745098
pre-train,to airport,20,False,0.02,0.03333333333333333
parsing,economy,84,True,0.0,0.0
parsing,economy,84,False,0.0,0.0
gpt3,stop city,26,True,0.0,0.0
parsing,stop city,24,True,0.0,0.0
pre-train,stop city,32,True,0.0390625,0.04807692307692308
gpt3,stop city,26,False,0.0,0.0
parsing,stop city,24,False,0.0,0.0
pre-train,stop city,32,False,0.02734375,0.040865384615384616
gpt3,airport name,28,True,0.0,0.0
parsing,airport name,40,True,0.0,0.0
pre-train,airport name,32,True,0.0,0.0
gpt3,airport name,28,False,0.0,0.0
parsing,airport name,40,False,0.0,0.0
pre-train,airport name,32,False,0.0,0.0
gpt3,meal code,2,True,0.0,0.0
parsing,meal code,2,True,1.0,1.0
pre-train,meal code,2,True,0.0,0.0
gpt3,meal code,2,False,0.0,0.0
parsing,meal code,2,False,0.0,0.5
pre-train,meal code,2,False,0.0,0.0
parsing,ground fare,6,True,0.0,0.0
parsing,ground fare,6,False,0.0,0.0
parsing,arrive time start,94,True,0.0,0.0
parsing,arrive time start,94,False,0.0,0.0
gpt3,superlative,36,True,0.0,0.0
parsing,superlative,46,True,0.0,0.0
pre-train,superlative,36,True,0.037037037037037035,0.044444444444444446
gpt3,superlative,36,False,0.0,0.0
parsing,superlative,46,False,0.0,0.0
pre-train,superlative,36,False,0.03395061728395062,0.04259259259259259
parsing,O,10,True,0.0,0.0
parsing,O,10,False,0.0,0.0
gpt3,restriction code,4,True,0.0,0.0
parsing,restriction code,4,True,0.0,0.0
pre-train,restriction code,4,True,0.5,0.5
gpt3,restriction code,4,False,0.0,0.0
parsing,restriction code,4,False,0.0,0.0
pre-train,restriction code,4,False,0.0,0.25
parsing,stop state,4,True,0.0,0.0
parsing,stop state,4,False,0.0,0.0
gpt3,at time,6,True,0.0,0.0
parsing,at time,86,True,0.0,0.0
gpt3,at time,6,False,0.0,0.0
parsing,at time,86,False,0.0,0.0
gpt3,meal,14,True,0.0,0.0
parsing,meal,20,True,0.05,0.06666666666666668
pre-train,meal,12,True,0.05555555555555555,0.08333333333333333
gpt3,meal,14,False,0.0,0.0
parsing,meal,20,False,0.01,0.04
pre-train,meal,12,False,0.05555555555555555,0.08333333333333333
parsing,ground service,32,True,0.0,0.0
parsing,ground service,32,False,0.0,0.0
gpt3,from state,52,True,0.0,0.0
parsing,from state,132,True,0.003443526170798898,0.005611672278338944
pre-train,from state,42,True,0.03854875283446712,0.042606516290726815
gpt3,from state,52,False,0.0,0.0
parsing,from state,132,False,0.0,0.002805836139169472
pre-train,from state,42,False,0.03854875283446712,0.042606516290726815
gpt3,state code,6,True,0.0,0.0
pre-train,state code,2,True,1.0,1.0
gpt3,state code,6,False,0.0,0.0
pre-train,state code,2,False,1.0,1.0
parsing,atis airfare,10,True,0.0,0.0
parsing,atis airfare,10,False,0.0,0.0
parsing,atis abbreviation,4,True,0.0,0.0
parsing,atis abbreviation,4,False,0.0,0.0
parsing,number of days,6,True,0.0,0.0
parsing,number of days,6,False,0.0,0.0
parsing,atis airline,18,True,0.0,0.0
parsing,atis airline,18,False,0.0,0.0
gpt3,depart time,246,True,0.003371009319849296,0.004738675958188153
parsing,depart time,256,True,0.0001220703125,0.00019778481012658228
pre-train,depart time,244,True,0.007256113947863478,0.0076644666808601235
gpt3,depart time,246,False,0.0028422235441866615,0.004367015098722416
parsing,depart time,256,False,0.0,9.889240506329114e-05
pre-train,depart time,244,False,0.0064498790647675355,0.007238662976367895
gpt3,days code,2,True,0.0,0.0
parsing,days code,4,True,0.0,0.0
pre-train,days code,2,True,0.0,0.0
gpt3,days code,2,False,0.0,0.0
parsing,days code,4,False,0.0,0.0
pre-train,days code,2,False,0.0,0.0
gpt3,arrive date,40,True,0.01,0.016666666666666666
parsing,arrive date,180,True,0.0004938271604938272,0.000935672514619883
pre-train,arrive date,36,True,0.021604938271604937,0.031111111111111114
gpt3,arrive date,40,False,0.005,0.0125
parsing,arrive date,180,False,0.0,0.0004678362573099415
pre-train,arrive date,36,False,0.0154320987654321,0.02666666666666666
gpt3,in city,60,True,0.0033333333333333335,0.006060606060606061
parsing,in city,202,True,0.0014704440741103812,0.0024752475247524753
pre-train,in city,96,True,0.008680555555555556,0.012254901960784314
gpt3,in city,60,False,0.0033333333333333335,0.006060606060606061
parsing,in city,202,False,0.0,0.0012376237623762376
pre-train,in city,96,False,0.007378472222222223,0.011335784313725492
parsing,atis quantity,10,True,0.0,0.0
parsing,atis quantity,10,False,0.0,0.0
gpt3,depart date,342,True,0.0018467220683287165,0.0027223230490018148
parsing,depart date,322,True,0.00027005130974885227,0.0005085176709890668
pre-train,depart date,340,True,0.005363321799307958,0.005593648502345724
gpt3,depart date,342,False,0.0018125235115078143,0.0026971163541036495
parsing,depart date,322,False,0.0,0.0002542588354945334
pre-train,depart date,340,False,0.004982698961937716,0.0053951642006495855
gpt3,from airport,18,True,0.0,0.0
parsing,from airport,40,True,0.0125,0.02
pre-train,from airport,18,True,0.012345679012345678,0.02222222222222222
gpt3,from airport,18,False,0.0,0.0
parsing,from airport,40,False,0.0,0.01
pre-train,from airport,18,False,0.012345679012345678,0.02222222222222222
gpt3,flight time,10,True,0.0,0.0
parsing,flight time,200,True,0.0,0.0
pre-train,flight time,2,True,1.0,1.0
gpt3,flight time,10,False,0.0,0.0
parsing,flight time,200,False,0.0,0.0
pre-train,flight time,2,False,0.0,0.5
gpt3,flight days,16,True,0.0,0.0
parsing,flight days,364,True,0.00015094795314575535,0.00029382382323558796
pre-train,flight days,10,True,0.2,0.2
gpt3,flight days,16,False,0.0,0.0
parsing,flight days,364,False,0.0,0.00014691191161779398
pre-train,flight days,10,False,0.2,0.2
gpt3,period of day,4,True,0.0,0.0
parsing,period of day,24,True,0.006944444444444444,0.012820512820512822
pre-train,period of day,4,True,0.0,0.0
gpt3,period of day,4,False,0.0,0.0
parsing,period of day,24,False,0.0,0.006410256410256411
pre-train,period of day,4,False,0.0,0.0
parsing,return time,2,True,0.0,0.0
parsing,return time,2,False,0.0,0.0
parsing,atis aircraft,14,True,0.0,0.0
parsing,atis aircraft,14,False,0.0,0.0
gpt3,to state,48,True,0.0,0.0
parsing,to state,92,True,0.0023629489603024575,0.004262574595055414
pre-train,to state,40,True,0.02,0.028571428571428574
gpt3,to state,48,False,0.0,0.0
parsing,to state,92,False,0.0,0.002131287297527707
pre-train,to state,40,False,0.02,0.028571428571428574
gpt3,airline code,50,True,0.0048,0.00857142857142857
parsing,airline code,32,True,0.0,0.0
pre-train,airline code,32,True,0.02734375,0.03804347826086956
gpt3,airline code,50,False,0.0016,0.005714285714285715
parsing,airline code,32,False,0.0,0.0
pre-train,airline code,32,False,0.02734375,0.03804347826086956
gpt3,flight number,20,True,0.02,0.03333333333333333
parsing,flight number,188,True,0.0005658669081032141,0.001074575542660649
pre-train,flight number,18,True,0.012345679012345678,0.0202020202020202
gpt3,flight number,20,False,0.02,0.03333333333333333
parsing,flight number,188,False,0.0,0.0005372877713303245
pre-train,flight number,18,False,0.012345679012345678,0.0202020202020202
gpt3,return date,16,True,0.0,0.0
parsing,return date,16,True,0.015625,0.02777777777777778
pre-train,return date,14,True,0.02040816326530612,0.03571428571428571
gpt3,return date,16,False,0.0,0.0
parsing,return date,16,False,0.0,0.01388888888888889
pre-train,return date,14,False,0.02040816326530612,0.03571428571428571
gpt3,meal description,16,True,0.0,0.0
parsing,meal description,14,True,0.0,0.0
pre-train,meal description,16,True,0.046875,0.06818181818181818
gpt3,meal description,16,False,0.0,0.0
parsing,meal description,14,False,0.0,0.0
pre-train,meal description,16,False,0.046875,0.06818181818181818
gpt3,arrive time,64,True,0.00390625,0.006944444444444444
parsing,arrive time,78,True,0.0019723865877712033,0.003076923076923077
pre-train,arrive time,78,True,0.017094017094017092,0.019900497512437814
gpt3,arrive time,64,False,0.00390625,0.006944444444444444
parsing,arrive time,78,False,0.0,0.0015384615384615385
pre-train,arrive time,78,False,0.01183431952662722,0.016838882510524303
parsing,atis distance,6,True,0.0,0.0
parsing,atis distance,6,False,0.0,0.0
gpt3,from location,40,True,0.0,0.0
parsing,from location,82,True,0.000594883997620464,0.00116144018583043
pre-train,from location,40,True,0.017499999999999998,0.025
gpt3,from location,40,False,0.0,0.0
parsing,from location,82,False,0.0,0.000580720092915215
pre-train,from location,40,False,0.017499999999999998,0.025
parsing,month,68,True,0.0,0.0
parsing,month,68,False,0.0,0.0
gpt3,day name,4,True,0.0,0.0
parsing,day name,22,True,0.008264462809917356,0.015151515151515154
pre-train,day name,4,True,0.0,0.0
gpt3,day name,4,False,0.0,0.0
parsing,day name,22,False,0.0,0.007575757575757577
pre-train,day name,4,False,0.0,0.0
gpt3,round trip,74,True,0.0,0.0
parsing,round trip,68,True,0.01903114186851211,0.02310924369747899
pre-train,round trip,72,True,0.02700617283950617,0.02738654147104851
gpt3,round trip,74,False,0.0,0.0
parsing,round trip,68,False,0.006055363321799308,0.015231092436974791
pre-train,round trip,72,False,0.023919753086419755,0.025821596244131453
gpt3,from city,850,True,0.0012069204152249135,0.0015929850200949943
parsing,from city,846,True,0.0017381195893343168,0.0019501978416138358
pre-train,from city,860,True,0.002114656571119524,0.0022097261861030266
gpt3,from city,850,False,0.0010352941176470587,0.0014797223237120933
parsing,from city,846,False,2.2355235875682534e-05,0.0009876403860262994
pre-train,from city,860,False,0.0020173066522444563,0.0021588629235073046
gpt3,transport type,16,True,0.0,0.0
parsing,transport type,18,True,0.0,0.0
pre-train,transport type,16,True,0.09375,0.10714285714285714
gpt3,transport type,16,False,0.0,0.0
parsing,transport type,18,False,0.0,0.0
pre-train,transport type,16,False,0.09375,0.10714285714285714
